Scientific_Name,Common_name,Very_poisonous,Poisonous,Allergenic,Irritant,Invasive,Plant_id,Image_src
Cycas revoluta,Dwarf sago palm,1,0,0,0,0,ap1,https://upload.wikimedia.org/wikipedia/commons/3/3b/Cycas_inflorescence.jpg
Pteridium esculentum,Bracken,1,0,0,0,0,ap2,https://upload.wikimedia.org/wikipedia/commons/8/87/Pteridium_esculentum_Chatswood_West.jpg
Aconitum napellus,Monkshood,1,0,0,0,0,ap3,https://upload.wikimedia.org/wikipedia/commons/5/5e/Aconitum_napellus_230705.jpg
Agapanthus praecox,Agapanthus,0,1,0,1,1,ap4,https://upload.wikimedia.org/wikipedia/commons/6/66/Agapanthus_Postbloom.jpg
Agave Americana,Century plant,0,0,0,1,1,ap5,https://upload.wikimedia.org/wikipedia/commons/2/21/Agave_americana_R01.jpg
Agrostemma githago,Corn cockle,0,1,0,0,0,ap6,https://upload.wikimedia.org/wikipedia/commons/0/04/Agrostemma_githago_sl1.jpg
Alocasia macrorrhizos,Giant taro and similar species,0,1,0,1,0,ap7,https://upload.wikimedia.org/wikipedia/commons/7/7e/AlocasiaMacrorrhizaFlower.jpg
Alstroemeria aurea,Peruvian lily,0,0,1,0,1,ap8,https://upload.wikimedia.org/wikipedia/commons/a/a7/Alstroemeria_aurantiaca.jpg
Amaryllis belladonna,Belladonna lily,1,0,0,0,1,ap9,https://upload.wikimedia.org/wikipedia/commons/7/78/NakedLadies.jpg
Anagallis arvensis,Scarlet pimpernel,0,1,0,1,1,ap10,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flowers_March_2008-19.jpg
Arum italicum,Italian arum,1,0,0,1,1,ap11,https://upload.wikimedia.org/wikipedia/commons/d/d3/Cuckoo_Pint_Arum_italicum_Young_Plant_2874px.jpg
Atropa belladonna,Deadly nightshade,1,0,0,1,0,ap12,https://upload.wikimedia.org/wikipedia/commons/7/79/Atropa_bella-donna1.jpg
Caladium bicolor,Caladium,0,1,0,1,0,ap13,https://upload.wikimedia.org/wikipedia/commons/c/c5/Caladium_white1.JPG
Cannabis sativa,Indian hemp,0,1,0,0,1,ap14,https://upload.wikimedia.org/wikipedia/commons/e/ed/Cannabis_sativa_2.jpg
Cicuta virosa,Cowbane,1,0,0,0,0,ap15,https://upload.wikimedia.org/wikipedia/commons/7/77/Cicuta_virosa_Myrkkykeiso_IMG_0357_C.JPG
Clivia miniata,Clivia,0,0,0,0,0,ap16,https://upload.wikimedia.org/wikipedia/en/2/26/Clivia-GreenPlants.ca.jpg
Colchicum autumnale,Autumn crocus,1,0,0,0,1,ap17,https://upload.wikimedia.org/wikipedia/commons/1/1f/Colchicum_speciosum000.jpg
Colocasia esculenta,Taro,0,1,0,1,0,ap18,https://upload.wikimedia.org/wikipedia/commons/3/30/Songe-R%C3%A9union.JPG
Conium maculatum,Hemlock,1,0,0,0,1,ap19,https://upload.wikimedia.org/wikipedia/commons/b/b2/Conium.jpg
Consolida ambigua,Larkspur,1,0,0,1,1,ap20,https://upload.wikimedia.org/wikipedia/commons/7/75/Consolida_ajacis_habito.jpg
Convallaria majalis,Lily of the valley,1,0,0,1,0,ap21,https://upload.wikimedia.org/wikipedia/commons/4/42/Lillyvalleystriiped.jpg
Crinum angustifolium,Field lily,0,1,1,1,0,ap22,https://upload.wikimedia.org/wikipedia/commons/e/ec/Crinum_angustifolium.jpg
Cyclamen persicum,Cyclamen,0,1,0,0,0,ap23,https://upload.wikimedia.org/wikipedia/commons/6/68/Yagur_%E2%80%93_Nesher%2C_the_Green_Path_%E2%80%93_Mount_Carmel_016.JPG
Datura ferox,Thornapples,1,0,0,0,0,ap24,https://upload.wikimedia.org/wikipedia/commons/8/87/Datura_stramonium_2_%282005_07_07%29.jpg
Delphinium cultorum,Delphinium cultivars,1,0,0,1,0,ap25,https://upload.wikimedia.org/wikipedia/commons/d/d6/Delphinium_x_cultorum1.jpg
Dianella species,Flax lilies,0,1,0,0,0,ap26,https://upload.wikimedia.org/wikipedia/commons/d/d1/Dianella_caerulea_flowers.jpg
Dieffenbachia seguine,Dumb cane,0,1,0,1,0,ap27,https://upload.wikimedia.org/wikipedia/commons/8/80/Dieffenbachia_seguine1FKST.jpg
Digitalis purpurea,Foxglove,1,0,0,0,1,ap28,https://upload.wikimedia.org/wikipedia/commons/2/20/Digitalis_purpurea_patch_in_Seattle.jpg
Eschscholzia californica,California poppy,0,1,0,0,1,ap29,https://upload.wikimedia.org/wikipedia/commons/8/83/Kaldari_Eschscholzia_californica_01.jpg
Euphorbia lathyris,Caper spurge and similar species,0,1,0,1,0,ap30,https://upload.wikimedia.org/wikipedia/commons/b/b6/Euphorbia_lathyris_L._side_wiew.jpg
Helleborus species,Hellebores,1,0,0,1,0,ap31,https://upload.wikimedia.org/wikipedia/commons/0/08/Helleborus_argutifolius.jpg
Heracleum mantegazzianum,Giant hogweed,0,0,0,1,1,ap32,https://upload.wikimedia.org/wikipedia/commons/a/ae/Herkulesstaude_fg01.jpg
Hippeastrum species,Amaryllis,0,1,1,1,0,ap33,https://upload.wikimedia.org/wikipedia/commons/a/ab/Hippeastrum_evansiae.jpg
Hyacinthoides non-scripta,English bluebell,0,1,0,1,0,ap34,https://upload.wikimedia.org/wikipedia/commons/e/ea/Hyacinthoides_non-scripta_001.JPG
Hyacinthus orientalis,Hyacinth,0,1,0,1,0,ap35,https://upload.wikimedia.org/wikipedia/commons/7/7e/Hyacinth_-_Anglesey_Abbey.jpg
Iris foetidissima,Stinking iris,0,1,0,1,1,ap36,https://upload.wikimedia.org/wikipedia/commons/9/95/Iris_foetidissima_PaR.JPG
Iris germanica,Bearded iris/ German iris,0,1,0,1,1,ap37,https://upload.wikimedia.org/wikipedia/commons/4/42/Iris_Germanica_2012-2.jpg
Iris Pseudocorus,Yellow water iris,0,1,0,1,1,ap38,https://upload.wikimedia.org/wikipedia/commons/d/d7/Iris_pseudacorus_flower.jpg
Lupinus species,Lupins,0,1,0,0,1,ap39,https://upload.wikimedia.org/wikipedia/commons/d/da/Lupinus_polyphyllus.JPG
Mirabilis jalapa,Four o’clock,0,1,0,1,1,ap40,https://upload.wikimedia.org/wikipedia/commons/6/63/Gul-Abas-4-O%27clock_plant.JPG
Moraea flaccida,One-leaf cape tulip/ Two-leaf cape tulip,1,0,0,0,1,ap41,https://upload.wikimedia.org/wikipedia/commons/5/50/Moraea_flaccida_2.JPG
Muscari armeniacum,Grape hyacinth,0,1,0,0,0,ap42,https://upload.wikimedia.org/wikipedia/commons/1/1a/Muscari_armeniacum_4.jpg
Narcissus jonquilla,Jonquil,1,0,0,1,0,ap43,https://upload.wikimedia.org/wikipedia/commons/7/70/Narcissus_jonquilla_Tete-a-tete_0zz.jpg
Narcissus pseudonarcissus,Daffodil,1,0,1,1,1,ap44,https://upload.wikimedia.org/wikipedia/commons/f/f2/Narcissus_pseudonarcissus_030405.jpg
Nicotiana tabacum,Tobacco,0,1,1,1,1,ap45,https://upload.wikimedia.org/wikipedia/commons/4/49/Tabak_9290019.JPG
Ornithogalum thyrsoides,Chincherinchee,0,1,0,1,1,ap46,https://upload.wikimedia.org/wikipedia/commons/0/03/Ornithogalum_umbellatum_close-up2.jpg
Papaver somniferum,Opium poppy,1,0,0,1,1,ap47,https://upload.wikimedia.org/wikipedia/commons/b/bc/Coquelicots_-_Parc_floral_6.JPG
Papaver nudicaule,Iceland poppy,0,1,0,0,0,ap48,https://upload.wikimedia.org/wikipedia/commons/b/bf/Papaver_miyabeanum_1.jpg
Papaver rhoes,Field poppy/ Flanders,0,1,0,0,1,ap49,https://upload.wikimedia.org/wikipedia/commons/9/93/Papaver_rhoeas_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-101.jpg
Parietaria judaica,Wall pellitory,0,0,1,1,1,ap50,https://upload.wikimedia.org/wikipedia/commons/3/36/4988_Parietaria_judaica_20110829.JPG
Polygonatum hybridum,Solomon’s seal,0,1,0,1,0,ap51,https://upload.wikimedia.org/wikipedia/commons/3/39/Polygonatum.JPG
Primula species,Primroses,0,0,1,1,0,ap52,https://upload.wikimedia.org/wikipedia/commons/a/ad/Prole%C4%87no_cve%C4%87e_3.JPG
Pulsatilla vulgaris,Pulsatilla,0,1,0,1,0,ap53,https://upload.wikimedia.org/wikipedia/commons/b/ba/Pulsatilla_vulgaris-700px.jpg
Ranunculus sceleratus,Celery-leaf buttercup,1,0,1,1,0,ap54,https://upload.wikimedia.org/wikipedia/commons/4/43/Ranunculus_sceleratus_002.JPG
Solanum rostratum,Buffalo burr,0,1,0,0,0,ap55,https://upload.wikimedia.org/wikipedia/commons/9/97/Solanum_rostratum_flora_fruit.jpg
Tanacetum vulgare,Tansy,0,1,1,1,1,ap56,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Tanacetum_vulgare_-_harilik_soolikarohi_Keilas2.jpg/800px-Tanacetum_vulgare_-_harilik_soolikarohi_Keilas2.jpg
Tulipa hybrid,Tulip,0,1,1,1,0,ap57,https://upload.wikimedia.org/wikipedia/commons/9/9e/%D7%A6%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%9D.JPG
Urtica species,Stinging nettles,0,0,0,1,1,ap58,https://upload.wikimedia.org/wikipedia/commons/2/2f/Urtica_incisa1.JPG
Zantedeschia aethiopica,Arum lily,1,0,0,1,1,ap59,https://upload.wikimedia.org/wikipedia/commons/a/a2/Zantedeschia_aethiopica_-1.jpg
Abrus precatorius,Crab’s eye,1,0,0,1,0,ap60,https://upload.wikimedia.org/wikipedia/commons/2/21/Abrus_precatorius_pods.jpg
Allamanda cathartica,Yellow allamanda,0,1,0,1,1,ap61,https://upload.wikimedia.org/wikipedia/commons/5/51/Hoa_Thang_Giu.jpg
Araujia sericifera,Moth plant,0,1,0,1,1,ap62,https://upload.wikimedia.org/wikipedia/commons/6/6d/Araujia_sericifera01.jpg
Aristolochia elegans,Dutchman’s pipe,1,0,0,0,1,ap63,https://upload.wikimedia.org/wikipedia/commons/c/c3/Calicoflower-front-Honolulu.JPG
Gelsemium sempervirens,Carolina jessamine,1,0,0,0,0,ap64,https://upload.wikimedia.org/wikipedia/commons/f/fa/Gelsemium_sempervirens3.jpg
Gloriosa superba,Glory lily,1,0,0,1,1,ap65,https://upload.wikimedia.org/wikipedia/commons/6/6a/Flame_Lily.jpg
Hedera helix,English ivy,1,0,0,1,1,ap66,https://upload.wikimedia.org/wikipedia/commons/c/c7/Hedera_helix1.JPG
Ipomoea indica,Purple morning glory,0,1,0,0,1,ap67,https://upload.wikimedia.org/wikipedia/commons/3/3d/Ipomoea_July_2007-1.jpg
Lathyrus odoratus,Sweet pea,0,1,0,0,1,ap68,https://upload.wikimedia.org/wikipedia/commons/c/c7/Sweet_Pea-01.jpg
Lonicera japonica,Japanese,0,1,0,1,1,ap69,https://upload.wikimedia.org/wikipedia/commons/e/e9/Honeysuckle-2.jpg
Parthenocissus quinquefolia,Virginia creeper,0,1,0,1,1,ap70,https://upload.wikimedia.org/wikipedia/commons/d/db/Virginia_creeper_Parthenocissus_quinquifolia_169.JPG
Philodendron scandens,Heart-leaf,0,1,0,1,0,ap71,https://upload.wikimedia.org/wikipedia/commons/b/bb/Philodendron_scandens_subsp_oxycardium2.jpg
Sarcostemma viminale,Caustic vine,0,0,1,1,0,ap72,https://upload.wikimedia.org/wikipedia/commons/d/db/Sarcostemma_viminale_Khanon-199.jpg
Solandra maxima,Chalice vine,0,1,0,1,0,ap73,https://upload.wikimedia.org/wikipedia/commons/f/f7/Starr_000501-1300_Solandra_maxima.jpg
Toxicodendron radicans,Poison ivy,0,1,1,1,0,ap74,https://upload.wikimedia.org/wikipedia/commons/9/9d/2014-10-29_13_43_39_Poison_Ivy_foliage_during_autumn_leaf_coloration_in_Ewing%2C_New_Jersey.JPG
Wisteria floribunda,Japanese wisteria,0,1,0,0,0,ap75,https://upload.wikimedia.org/wikipedia/commons/d/da/Wisteria_floribunda5.jpg
Acokanthera oblongifolia,Wintersweet and similar species,1,0,0,1,0,ap76,https://upload.wikimedia.org/wikipedia/commons/4/4d/Acokanthera_oblongifolia_%28fruits%29_01.JPG
Allamanda neriifolia,Allamanda,0,1,0,1,0,ap77,https://upload.wikimedia.org/wikipedia/commons/0/06/Allemanda_neriifolia_12.jpg
Brugmansia species,Angel’s trumpets,1,0,0,0,0,ap78,https://upload.wikimedia.org/wikipedia/commons/b/b0/Brugmansia_arborea_with_fruit.jpg
Brunfelsia australis,Yesterday/ today and tomorrow,0,1,0,0,0,ap79,https://upload.wikimedia.org/wikipedia/commons/3/33/Brunfelsia_pauciflora_%28_Cham._%26_Schltdl._%29_Benth._flower_close-up.jpg
Caesalpinia gilliesii,Bird of paradise flower,0,1,0,0,0,ap80,https://upload.wikimedia.org/wikipedia/commons/8/8a/Caesalpinia_July_2011-1.jpg
Cascabela thevetia,Yellow oleander,1,0,0,0,1,ap81,https://upload.wikimedia.org/wikipedia/commons/7/70/Starr_070124-3792_Thevetia_peruviana.jpg
Catharanthus roseus,Pink periwinkle,0,1,0,0,1,ap82,https://upload.wikimedia.org/wikipedia/commons/a/ac/Catharanthus_roseus24_08_2012_%281%29.JPG
Cestrum diurnum,Day jasmine,0,1,0,0,0,ap83,https://upload.wikimedia.org/wikipedia/commons/c/cd/Cestrum_diurnum.jpg
Cestrum nocturnum,Lady of the night/ night-scented jasmine,0,1,1,0,1,ap84,https://upload.wikimedia.org/wikipedia/commons/0/01/Night_blooming_jasmine_flower.jpg
Cestrum parqui,Green cestrum/ Chilean cestrum/ green poisonberry,1,0,0,0,1,ap85,https://upload.wikimedia.org/wikipedia/commons/6/6e/Cestrum_parqui.jpg
Cotoneaster species,Cotoneasters,0,1,0,0,1,ap86,https://upload.wikimedia.org/wikipedia/commons/8/8d/Cotoneaster_frigidus.jpg
Cytisus scoparius,Broom,1,0,0,0,1,ap87,https://upload.wikimedia.org/wikipedia/commons/6/68/Cytisus_scoparius_by_Danny_S._-_001.JPG
Euonymus europaeus,European spindle tree and similar species,1,0,0,0,0,ap88,https://upload.wikimedia.org/wikipedia/commons/b/b3/Euonymus_europaeus2.jpg
